pub_date,title,venue,excerpt,citation,url_slug,paper_url
1/4/2018,Riverbed hydrologic exchange dynamics in a large regulated river reach,Water Resources Research ,This paper examines how upstream dam operations controls downstream hydrologic exchange patterns,,WRR-Columbia-River-CFD,https://doi.org/10.1002/2017WR020508
1/5/2018,Sensitivity of regulated flow regime to climate change in the Western United States,Journal of Hydrometeorology ,This paper compares the regulated flow and natural flow patterns in western U.S.,,JHM-West-US-WM,https://doi.org/10.1175/JHM-D-17-0095.1
1/6/2018,Evapotranspiration simulations in ISIMIP2a - Evaluation of spatio-temporal characteristics with a comprehensive ensemble of independent datasets,Environmental Research Letters,This paper describes the ET results from ISI-MIP simulations,,ISIMIP,https://iopscience.iop.org/article/10.1088/1748-9326/aac4bb
1/7/2018,A Climate Data Record (CDR) for the global terrestrial water budget 1984-2010,Hydrology and Earth System Sciences,This paper describes a dataset about global terrestrial water budget variables,,CDR,https://doi.org/10.5194/hess-22-241-2018
1/1/2019,Roles of irrigation and reservoir operations in modulating terrestrial water budgets in the Indian sub-continental river basins,Journal of Geophysical Research: Atmosphere,This paper examines water management impact over Indian basins using VIC-IRR model combined with reservoir scheme,,JGR-Indian-VIC-IRR-Reservoir,https://doi.org/10.1029/2019MS001870
1/2/2019,The DOE E3SM coupled model version 1: Description and results at high resolution,Journal of Advances in Modeling Earth Systems,This paper overviews E3SM V1 at high resolution configuration,,JAMES-E3SM-overview-high-resolution,https://doi.org/10.1029/2019MS001870
1/3/2019,Flood Inundation Generation Mechanisms and Their Changes in 1953-2004 in Global Major River Basins.,Journal of Geophysics Research: Atmospheres ,This paper used MOSART-inundation to investigate global flood characteristics and the shift of flood generating factors over 50 year period,,JGR-Flood-Inundation,https://doi.org/10.1029/2019JD031381
1/4/2019,The DOE E3SM Coupled Model Version 1: Overview and Evaluation at Standard Resolution,Journal of Advances in Modeling Earth Systems,This paper overviews E3SM V1 at standard resolution configuration,"Golaz, J. C., Caldwell, P. M., Van Roekel, L. P., Petersen, M. R., Tang, Q., Wolfe, J. D., ... & Baldwin, S. A. (2019). The DOE E3SM coupled model version 1: Overview and evaluation at standard resolution. Journal of Advances in Modeling Earth Systems, 11(7), 2089-2129.",JAMES-E3SM-overview,https://doi.org/10.1029/2018MS001603
1/5/2019,Strong influence of irrigation on water budget and land surface temperature in Indian sub-continental river basins,Journal of Geophysical Research: Atmospheres,This paper examines irrigation impacts over Indian basins,,JGR-Indian-VIC-IRR,https://doi.org/10.1029/2018JD029132
1/1/2020,The Straightening of a River Meander Leads to Extensive Losses in Flow Complexity and Ecosystem Services,Water,This paper was the last chapter of my PhD dissertation. We made a few attempts to publish the work and finally got accepted by Water. This study investigates the meander hydrodynamic changes with regard to the channel curvature,,Water-ESF-flume,https://doi.org/10.3390/w12061680
1/2/2020,"Global irrigation characteristics and effects simulated by fully coupled land surface, river, and water management models in E3SM",Journal of Advances in Modeling Earth Systems,"This paper introduces a two_way coupled irrigation scheme developed within the Energy Exascale Earth System Model (E3SM). The new irrigation scheme simulates irrigation water demand and applies irrigation water in E3SM Land Model (ELM), which is coupled to a river routing model and a water management model (MOSART_WM) that simulate streamflow, reservoir operations, and irrigation water supply",,E3SM-irrigation,https://doi.org/10.1029/2020MS002069
1/3/2020,The DOE E3SM v1. 1 biogeochemistry configuration: description and simulated ecosystem_climate responses to historical changes in forcing,Journal of Advances in Modeling Earth Systems,"This paper documents the biogeochemistry configuration of the Energy Exascale Earth System Model (E3SM), E3SMv1.1_BGC. The model simulates historical carbon cycle dynamics, including carbon losses predicted in response to land use and land cover change, and the responses of the carbon cycle to changes in climate",,E3SM-BGC,https://doi.org/10.1029/2019MS001766
1/4/2020,Impact of climate change on water availability and its propagation through the Western U.S. power grid,Applied Energy,This paper evaluates how projected changes in water availability affect electricity generation at hydroelectric and thermal power plants and how the coincident impacts propagate locally and throughout the interconnected power grid of western United States,,AE-power-grid,https://doi.org/10.1016/j.apenergy.2020.115467
1/1/2021,Validation of the Version 5 of the Community Land Model over the Contiguous United States (CONUS) using in-situ and remote sensing datasets,Journal of Geophysical Research: Atmospheres,This paper validates the CLM5 results with different configurations,,CLM5,https://doi.org/10.1029/2020JD033539
1/1/2022,Development of Land-River Two-Way Coupling in the Energy Exascale Earth System Model,Journal of Advances in Modeling Earth Systems,This paper introduces a new land-river two-way coupling scheme implemented in E3SM,,Land-River-coupling,https://doi.org/10.1029/2021MS002772
1/2/2022,The Role of Groundwater Withdrawals on River Regulation: Example from the Columbia River Basin,Water Resources Research,This paper introduces a new groundwater withdrawal scheme in VIC reservoir model,,VIC-GIRR,https://doi:10.1029/2020WR028955
1/3/2022,Description of historical and future projection simulations by the global coupled E3SMv1.0 model as used in ScenarioMIP and DAMIP of CMIP6,Geoscientific Model Development,This paper documents the E3SM v1 simulation for ScenarioMIP and examines the forcing impacts,,E3SMv1-CMIP6,https://doi:10.5194/gmd-15-3941-2022
1/4/2022,Variability of Forest Canopy Effects on Snowpack Dynamics across the Climate Gradients of the Western United States Mountain Ranges,Water Resources Research,This paper investigates the forest canopy impacts on snow dynamics,,Canopy-snowpack,https://doi.org/10.1029/2020WR029194
1/5/2022,Advances in modeling flow direction on a hexagon mesh grid,Advances in Water Resources,"This paper introduces HexWatershed, a tool to generate flow network on hexagonal grids",,HexWatershed,https://doi.org/10.1016/j.advwatres.2021.104099
1/6/2022,A new large-scale suspended sediment model and its application over the United States,Hydrology and Earth System Sciences,This paper introduces MOSART-sediment scheme,,MOSART-sediment,https://doi.org/10.5194/hess-26-665-2022
9/1/2022,The Third Assessment of the Effects of Climate Change on Federal Hydropower,Report to U.S. Congress,This report evaluates the effects of climate change on hydroelectric energy generated from 132 US federal hydropower plants marketed by four US Department of Energy (DOE) Power Marketing Administrations (PMAs),"Kao, Shih-Chieh, Ashfaq, Moetasim, Rastogi, Deeksha, Gangrade, Sudershan, Uria Martinez, Rocio, Fernandez, Alisha, Konapala, Goutam, Voisin, Nathalie, Zhou, Tian, Xu, Wenwei, Gao, Huilin, Zhao, Bingjie, and Zhao, Gang. The Third Assessment of the Effects of Climate Change on Federal Hydropower. United States: N. p., 2022",9505v3,https://doi.org/10.2172/1887712
